="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8723";="2026-09-03";"Riktad tillsyn, Individs situation av Stensättersskolan för Offentlig huvudman KATRINEHOLMS KOMMUN i Katrineholms kommun "
="SI 2026:8722";="2026-09-03";="Uppgift om Leteboskolan med huvudmannen Letebo Utbildning AB i Marks kommun "
="SI 2026:8721";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Slottsbergsskolan F-6 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8720";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Sandeklevsskolan 7-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8719";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Nytorpsskolan 4-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8718";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, anpassad grundskola (inkl HM) av Nytorpsskolan 4-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8717";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, anpassad grundskola (inkl HM) av Nordhemsskolan 1-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8716";="2026-09-03";"Planerad tillsyn, Skolenhetsnivå, anpassad grundskola (inkl HM) av Skytteskolan F-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8715";="2026-09-03";="Uppgift om GRÄNDENS FÖRSKOLA med huvudmannen VINGÅKERS KOMMUN i Vingåkers kommun "
="SI 2026:8714";="2026-09-03";="Uppgift i Ängelholms kommun"
="SI 2026:8713";="2026-09-03";="Remiss. Identifiering av barn i behov av stöd för att utveckla sina färdigheter i svenska språket Ds 2026:17 "
="SI 2026:8712";="2026-09-02";="Uppgift om Grebo skola med huvudmannen ÅTVIDABERGS KOMMUN i Åtvidabergs kommun "
="SI 2026:8711";="2026-09-02";="Uppgift om Garphyttans skola med huvudmannen ÖREBRO KOMMUN i Örebro kommun "
="SI 2026:8710";="2026-09-02";="Uppgift om Bäckhammarskolan med huvudmannen SURAHAMMARS KOMMUN i Surahammars kommun "
="SI 2026:8709";="2026-09-02";="Uppgift om Attarpsskolan 7-9 med huvudmannen JÖNKÖPINGS KOMMUN i Jönköpings kommun "
="SI 2026:8708";="2026-09-02";="Uppgift om Spira Teoretiska Gymnasium Stora Essingen med huvudmannen Eruditia AB i Stockholms kommun "
="SI 2026:8707";="2026-09-02";="Uppgift om Älta skola med huvudmannen NACKA KOMMUN i Nacka kommun "
="SI 2026:8706";="2026-09-02";="Uppgift om Värmlandsbro skola med huvudmannen SÄFFLE KOMMUN i Säffle kommun "
="SI 2026:8705";="2026-09-02";="Uppgift om Internationella Engelska Skolan Nacka med huvudmannen Internationella Engelska Skolan i Sverige AB i Nacka kommun "
="SI 2026:8704";="2026-09-02";="Uppgift om Skulltorps skola F-5 med huvudmannen PARTILLE KOMMUN i Partille kommun "
="SI 2026:8703";="2026-09-02";="Uppgift om Vårfruskolan med huvudmannen LUNDS KOMMUN i Lunds kommun "
="SI 2026:8702";="2026-09-02";="Uppgift om Kunskapsskolan Borås med huvudmannen Kunskapsskolan i Sverige Aktiebolag i Borås kommun "
="SI 2026:8701";="2026-09-02";="Uppgift om Östra grundskolan med huvudmannen HUDDINGE KOMMUN i Huddinge kommun "
="SI 2026:8700";="2026-09-02";="Uppgift om Da Vinciskolan med huvudmannen DAVI SKOLAN AKTIEBOLAG i Nacka kommun "
="SI 2026:8699";="2026-09-02";="Uppgift om Sorgenfriskolan med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8698";="2026-09-02";="Uppgift om Bollstanäs skola med huvudmannen UPPLANDS VÄSBY KOMMUN i Upplands Väsby kommun "
="SI 2026:8697";="2026-09-02";="Uppgift om Särö Montessoriskola Daggdroppen med huvudmannen FÖRENINGEN MONTESSORISKOLAN DAGGDROPPEN i Kungsbacka kommun "
="SI 2026:8696";="2026-09-02";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Lövgärdesskolan 4-9 för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun, läsåret 2026/2027 "
="SI 2026:8695";="2026-09-02";"Ansökan om utdömande av vite i grundärende SI 2025:6243, Utöva planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola av Montessoriskolan Droppen för enskild huvudman HAPARANDA MONTESSORIFÖRENING i Haparanda kommun, läsåret 2025/2026 "
="SI 2026:8694";="2026-09-02";="Utredning av lärare eller förskollärare i Stockholms kommun"
="SI 2026:8693";="2026-09-02";="Uppgift om Vittsjö skola F-6 med huvudmannen HÄSSLEHOLMS KOMMUN i Hässleholms kommun "
="SI 2026:8692";="2026-09-02";="Uppgift om HagaLyckebyskolan med huvudmannen HANINGE KOMMUN i Haninge kommun "
="SI 2026:8691";="2026-09-02";="Uppgift om Sjöparksskolan med huvudmannen GÄLLIVARE KOMMUN i Gällivare kommun "
="SI 2026:8690";="2026-09-02";="Återkallande av godkännanden som inte nyttjas för Tellusskolan AB vid Robinson Husberg i Enköpings kommun "
