="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8578";="2026-08-28";"Uppgift om Luleå gymnasieskola, skolenhet C med huvudmannen LULEÅ KOMMUN i Luleå kommun "
="SI 2026:8577";="2026-08-28";="Uppgift om Nakterhusskolan med huvudmannen HANINGE KOMMUN i Haninge kommun "
="SI 2026:8576";="2026-08-28";="Uppgift om Vittra Södermalm med huvudmannen Vittraskolorna AB i Stockholms kommun "
="SI 2026:8575";="2026-08-28";"Uppgift om Martinaskolan med huvudmannen Waldorfföreningen, Martinaskolan, ekonomisk förening i Göteborgs kommun "
="SI 2026:8574";="2026-08-28";="Uppgift om Kastalskolan med huvudmannen ÖSTERSUNDS KOMMUN i Östersunds kommun "
="SI 2026:8573";="2026-08-28";="Uppgift om JENSEN grundskola Långholmen med huvudmannen JENSEN EDUCATION COLLEGE AB i Stockholms kommun "
="SI 2026:8572";="2026-08-28";="Uppgift om MALMBRYGGSHAGENS FÖRSKOLA med huvudmannen NYKÖPINGS KOMMUN i Nyköpings kommun "
="SI 2026:8571";="2026-08-28";="Uppgift om SOFIELUNDS FÖRSKOLA med huvudmannen SOLLENTUNA KOMMUN i Sollentuna kommun "
="SI 2026:8570";="2026-08-28";="Uppgift om Gymnasieskolan Gripen med huvudmannen Gymnasieskolan Gripen AB i Malmö kommun "
="SI 2026:8569";="2026-08-28";="Uppgift om Risbroskolan med huvudmannen FAGERSTA KOMMUN i Fagersta kommun "
="SI 2026:8568";="2026-08-28";="Upplåtelseförteckning för kontroll av uppgifter i Statskontorets kontrakts- och användarregister (KAR) 2026 "
="SI 2026:8567";="2026-08-28";="Uppgift om Hjuviksskolan F-3 med huvudmannen GÖTEBORGS KOMMUN i Göteborgs kommun "
="SI 2026:8566";="2026-08-28";="Uppgift om Jättestensskolan F-9 med huvudmannen GÖTEBORGS KOMMUN i Göteborgs kommun "
="SI 2026:8565";="2026-08-28";"Riktad tillsyn, Individs situation av KUMMINGATAN 126 FÖRSKOLA för Offentlig huvudman GÖTEBORGS KOMMUN i Göteborgs kommun "
="SI 2026:8564";="2026-08-28";="Uppgift om Skälbyskolan med huvudmannen JÄRFÄLLA KOMMUN i Järfälla kommun "
="SI 2026:8563";="2026-08-28";="Uppgift om Martinskolan Söders waldorfskola med huvudmannen STIFTELSEN MARTINSKOLAN SÖDERS WALDORFSKOLA i Stockholms kommun "
="SI 2026:8562";="2026-08-28";="Uppgift om Kallingeskolan 7-9 med huvudmannen RONNEBY KOMMUN i Ronneby kommun "
="SI 2026:8561";="2026-08-28";="Uppgift om Stenungsunds Montessoriskola med huvudmannen STENUNGSUNDS MONTESSORI EKONOMISKA FÖRENING i Stenungsunds kommun "
="SI 2026:8560";="2026-08-28";="Uppgift om Fjällenskolan med huvudmannen JÄRFÄLLA KOMMUN i Järfälla kommun "
="SI 2026:8559";="2026-08-28";="Uppgift om Svalstaskolan med huvudmannen NYKÖPINGS KOMMUN i Nyköpings kommun "
="SI 2026:8558";="2026-08-28";="Uppgift om S:t Eriks Katolska Skola med huvudmannen STIFTELSEN S:T ERIKS KATOLSKA SKOLA i Stockholms kommun "
="SI 2026:8557";="2026-08-28";="Uppgift om VATTNÄS FÖRÄLDRAKOOPERATIV EKONOMISK FÖRENING med huvudmannen VATTNÄS FÖRÄLDRAKOOPERATIV EKONOMISK FÖRENING i Mora kommun "
="SI 2026:8556";="2026-08-28";="Uppgift om Hässelby Villastads skola med huvudmannen STOCKHOLMS KOMMUN i Stockholms kommun "
="SI 2026:8555";="2026-08-28";="Uppgift om Finnstaskolan med huvudmannen UPPLANDS-BRO KOMMUN i Upplands-Bro kommun "
="SI 2026:8554";="2026-08-28";="Anmälan om förändring inom ägar- och ledningskretsen från 021 Skol AB i Ej relevant "
="SI 2026:8553";="2026-08-28";="Uppgift om Emiliaskolan Höörs waldorfsk. med huvudmannen FÖRENINGEN EMILIASKOLAN i Höörs kommun "
="SI 2026:8552";="2026-08-28";"Tematisk tillsyn, Huvudmannens klagomålshantering, av Kvarsebo skola för Enskild huvudman KVARSEBO SKOLA i Norrköpings kommun, läsåret 2026/2027 "
="SI 2026:8551";="2026-08-28";="Återkalla beslut Ekonomigymnasiet i Göteborgför Senecafinans AB i Göteborgs kommun "
="SI 2026:8550";="2026-08-28";="Uppgift om Östra gymnasiet med huvudmannen HUDDINGE KOMMUN i Huddinge kommun "
="SI 2026:8549";="2026-08-28";="Uppgift om Montessoriskolan Fyrkappan med huvudmannen MONTESSORISKOLAN FYRKAPPAN EKONOMISK FÖRENING i Sjöbo kommun "
="SI 2026:8548";="2026-08-28";="Uppgift om Olaus Petriskolan F-6 med huvudmannen ÖREBRO KOMMUN i Örebro kommun "
="SI 2026:8547";="2026-08-28";="Uppgift om Fors skola med huvudmannen AVESTA KOMMUN i Avesta kommun "
="SI 2026:8546";="2026-08-28";="Uppgift om Sverigefinska skolan Sthlm med huvudmannen Sverigefinska skolan i Stockholm AB i Stockholms kommun "
="SI 2026:8545";="2026-08-28";="Uppgift om Hagaskolan 1 med huvudmannen NORRKÖPINGS KOMMUN i Norrköpings kommun "
="SI 2026:8544";="2026-08-28";="Uppgift om Sveriges Ridgymnasium Svedala med huvudmannen Sveriges Ridgymnasium AB i Svedala kommun "
="SI 2026:8543";="2026-08-28";="Uppgift om Olandsskolan med huvudmannen ÖSTHAMMARS KOMMUN i Östhammars kommun "
="SI 2026:8542";="2026-08-28";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Tunboskolan för Offentlig huvudman HALLSTAHAMMARS KOMMUN i Hallstahammars kommun, läsåret 2026/2027 "
="SI 2026:8541";="2026-08-28";="Uppgift om Väståkraskolan med huvudmannen TRELLEBORGS KOMMUN i Trelleborgs kommun "
="SI 2026:8540";="2026-08-28";="Uppgift om Angeredsgymnasiet 2 med huvudmannen GÖTEBORGS KOMMUN i Göteborgs kommun "
="SI 2026:8539";="2026-08-28";="Uppgift om HagaLyckebyskolan med huvudmannen HANINGE KOMMUN i Haninge kommun "
="SI 2026:8538";="2026-08-28";="Anmäla lärare eller förskollärare till Lärarnas ansvarsnämnd i Norrköpings kommun "
="SI 2026:8537";="2026-08-28";="Uppgift om Kungsholmens grundskola med huvudmannen STOCKHOLMS KOMMUN i Stockholms kommun "
="SI 2026:8536";="2026-08-28";="Uppgift om Navetskolan med huvudmannen KARLSHAMNS KOMMUN i Karlshamns kommun "
